medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Drotakan M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotal 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotal-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotalac 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotam Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotamag 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotamas M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotamef 80 mg/250 mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotamef Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotamit M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotanac-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotanicm 80 mg/250 mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotapen-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotaquin M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotarest-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotaric MF 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotarid M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotarin-M Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotarix M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotas M 80 mg/250 mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotastar-MF Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotasun Plus Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
Drotav M 80mg/250mg Tablet,Treatment of Abdominal pain,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Vomiting, Diarrhea, Dryness in mouth, Heartburn, Vertigo, Insomnia (difficulty in sleeping), Hypotension (low blood pressure), Fast heart rate, Sweating, Constipation, Increased liver enzymes, Increased white blood cell count (eosinophils), Decreased white blood cell count (lymphocytes), Low blood platelets, Purpura, Agranulocytosis (deficiency of granulocytes in the blood), Breathlessness, Ringing in ear, Abdominal pain, Flatulence, Indigestion, Stomach inflammation, Confusion, Depression","Drotaverine (80mg), Mefenamic Acid (250mg), GASTRO INTESTINAL"
